,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date,date_str
105,262.44,266.53,260.2,264.72,41576035.0,266.53,260.2,264.72,262.41,41827946.0,1.0,0.0,AAPL,XNAS,2026-03-02 00:00:00+00:00,Mar 02
100,263.48,265.56,260.13,263.75,37994695.0,265.56,260.13,263.75,263.48,38568921.0,1.0,0.0,AAPL,XNAS,2026-03-03 00:00:00+00:00,Mar 03
95,264.65,266.15,261.42,262.52,39258957.0,266.15,261.42,262.52,264.65,39803119.0,1.0,0.0,AAPL,XNAS,2026-03-04 00:00:00+00:00,Mar 04
90,260.745,261.555,257.25,260.29,49424671.0,261.555,257.25,260.29,260.79,49658626.0,1.0,0.0,AAPL,XNAS,2026-03-05 00:00:00+00:00,Mar 05
85,258.74,258.76,254.37,257.46,40628988.0,258.77,254.37,257.46,258.63,41120042.0,1.0,0.0,AAPL,XNAS,2026-03-06 00:00:00+00:00,Mar 06
80,255.69,261.15,253.6805,259.88,37958303.0,261.15,253.6805,259.88,255.69,38218533.0,1.0,0.0,AAPL,XNAS,2026-03-09 00:00:00+00:00,Mar 09
75,257.695,262.48,256.95,260.83,26403306.0,262.48,256.95,260.83,257.645,30590765.0,1.0,0.0,AAPL,XNAS,2026-03-10 00:00:00+00:00,Mar 10
70,261.09,262.13,259.55,260.81,26131800.0,262.13,259.55,260.81,261.09,26218927.0,1.0,0.0,AAPL,XNAS,2026-03-11 00:00:00+00:00,Mar 11
65,258.64,258.95,254.18,255.76,40132517.0,258.95,254.18,255.76,258.66,40794020.0,1.0,0.0,AAPL,XNAS,2026-03-12 00:00:00+00:00,Mar 12
60,255.4,256.33,249.52,250.12,34193754.0,256.33,249.52,250.12,255.48,36929988.0,1.0,0.0,AAPL,XNAS,2026-03-13 00:00:00+00:00,Mar 13
55,252.105,253.885,249.88,252.82,30091880.0,253.885,249.88,252.82,252.105,32074209.0,1.0,0.0,AAPL,XNAS,2026-03-16 00:00:00+00:00,Mar 16
50,253.0785,255.1299,252.18,254.23,27556024.0,255.13,252.18,254.23,252.955,32361607.0,1.0,0.0,AAPL,XNAS,2026-03-17 00:00:00+00:00,Mar 17
45,252.625,254.94,249.0,249.94,34652568.0,254.94,249.0,249.94,252.625,35757874.0,1.0,0.0,AAPL,XNAS,2026-03-18 00:00:00+00:00,Mar 18
40,249.4,251.83,247.3,248.96,34568663.0,251.83,247.3,248.96,249.4,34864082.0,1.0,0.0,AAPL,XNAS,2026-03-19 00:00:00+00:00,Mar 19
